code,baseline_A,baseline_B,baseline_C,baseline_D,baseline_E,occ_industry_pct,occ_agriculture_pct,occ_trade_pct,occ_civilservice_pct,occ_domestic_pct,occ_medicine_pct,rel_protestant_pct,rel_catholic_pct,rel_jewish_other_pct,pop_density_per_km2,pct_youth
WKR-090,70.1,19.1,1.0,4.7,5.1,24.7,41.2,19.6,6.5,6.0,1.9,3,95,2,102,14.2
WKR-147,65.8,20.4,1.0,7.4,5.4,23.7,42.7,19.7,6.0,6.2,1.7,20.4,77.4,2.2,94,12.8
WKR-093,14.9,36.7,1.0,18.2,29.2,59.8,7.7,17.0,7.3,6.9,1.4,47.6,50.7,1.6,4074,23.0
WKR-092,15.4,34.7,1.0,22.0,26.9,62.2,4.1,18.3,7.0,6.9,1.7,43.0,53.7,3.2,3384,18.7
PL-TERC-0206,6.9,15.8,50.7,17.2,9.4,7.6,65.9,13.2,7.4,4.4,1.6,93.1,4.3,2.5,54,12.9
PL-TERC-1608,8.3,18.9,47.8,16.1,8.9,14.6,54.0,15.8,7.9,6.6,1.1,22.0,74.9,3.1,77,13.3
PL-TERC-0219,6.6,15.0,50.5,17.8,10.1,8.0,62.1,13.7,7.9,7.1,1.2,86.3,11.4,2.3,70,13.4
PL-TERC-0217,11.7,28.5,35.7,15.8,8.3,22.2,44.9,17.9,6.2,7.1,1.8,18.2,78.4,3.5,139,9.7
WKR-170,9.4,18.9,35.6,28.3,7.8,13.0,56.4,15.9,7.0,6.2,1.4,90.1,7.5,2.4,111,10.9
WKR-096,66.5,16.6,1.0,6.8,9.1,22.0,46.8,16.9,7.2,5.0,2.1,11.7,85.6,2.7,114,14.2
WKR-089,70.9,15.3,1.0,6.1,6.7,23.1,43.6,18.0,7.0,6.2,2.1,7.1,91.3,1.7,154,10.5
WKR-086,23.5,38.9,1.0,20.1,16.5,62.9,5.6,18.7,5.8,5.8,1.3,44.1,54.4,1.5,4292,22.6
PL-TERC-0207,5.5,11.0,66.8,11.3,5.4,13.3,59.3,14.7,6.6,4.8,1.4,92.1,6.4,1.5,71,14.1
PL-TERC-1601,8.3,19.0,54.7,12.8,5.2,7.2,65.0,14.7,6.2,5.8,1.1,87.9,9.2,2.8,83,15.0
PL-TERC-0202,12.4,29.9,33.8,15.6,8.3,25.9,43.4,18.3,5.9,4.6,1.9,16.0,82.3,1.7,151,9.9
WKR-087,19.8,40.8,1.0,20.7,17.7,62.0,6.3,19.7,6.3,4.4,1.2,42.0,55.7,2.3,3258,23.8
WKR-095,21.4,37.5,1.0,23.7,16.4,56.8,12.5,16.7,5.8,6.3,1.8,55.3,42.9,1.8,2149,19.0
WKR-097,61.6,19.1,1.0,8.5,9.8,21.3,44.8,18.6,9.1,4.7,1.6,5.4,92.4,2.2,96,12.0
WKR-196,62.7,18.8,1.0,10.1,7.4,26.4,41.6,16.3,8.2,5.7,1.8,13.3,84.9,1.8,179,13.0
WKR-171,5.2,11.7,52.4,20.0,10.7,19.5,49.7,14.0,8.2,7.3,1.4,90.9,7.2,1.8,129,9.7
WKR-172,7.4,16.7,58.6,12.5,4.8,16.9,56.1,14.8,6.1,4.7,1.3,90.3,7.8,1.9,88,14.4
WKR-091,71.8,14.9,1.0,6.2,6.1,21.8,44.1,18.4,6.4,7.6,1.6,11.6,86.6,1.8,81,13.0
PL-TERC-2413,41.6,36.0,10.9,5.9,5.6,17.5,56.4,13.1,6.6,5.2,1.2,12.0,84.2,3.8,104,11.3
WKR-173,68.7,16.1,1.0,7.3,6.9,19.3,49.0,17.9,6.0,6.6,1.3,3,95,2,123,14.0
PL-TERC-0224,7.2,32.6,34.3,15.1,10.8,14.6,57.8,14.1,7.4,4.5,1.6,92.8,3.6,3.6,87,13.9
PL-TERC-1607,7.3,32.8,34.2,14.5,11.2,7.0,62.4,14.4,7.8,6.9,1.5,86.3,11.7,2.0,71,11.2
PL-TERC-1611,8.4,37.8,34.3,11.8,7.7,9.3,62.0,13.7,6.1,6.8,2.0,90.8,7.2,2.0,51,14.1
WKR-197,68.8,14.1,1.0,7.2,8.9,24.6,43.5,17.9,7.6,5.2,1.1,16.5,81.1,2.4,137,11.2
WKR-203,70.9,12.6,1.0,6.2,9.3,23.3,44.7,16.9,7.5,6.5,1.2,13.4,83.3,3.2,93,12.7
PL-TERC-0208,7.9,19.1,41.3,20.8,10.9,12.4,57.6,13.8,7.9,7.3,1.0,88.4,9.1,2.5,56,12.8
WKR-175,6.0,12.5,31.2,35.3,15.0,14.1,54.0,17.2,8.2,4.7,1.9,81.8,16.1,2.1,121,10.0
PL-TERC-2471,43.9,33.9,11.7,7.0,3.5,17.8,56.9,13.6,6.0,4.2,1.4,18.9,78.9,2.1,89,13.5
PL-TERC-2462,42.8,31.6,13.5,7.5,4.6,14.4,55.7,14.7,7.4,6.6,1.2,10.5,85.8,3.7,96,9.9
WKR-176,7.2,16.6,55.3,14.9,6.0,14.6,56.8,13.4,6.9,7.2,1.1,89.5,7.2,3.3,118,12.8
PL-TERC-2474,47.0,31.7,12.4,4.8,4.1,10.8,62.7,13.4,6.3,4.9,1.8,21.6,76.6,1.8,105,13.5
WKR-174,8.9,18.0,35.3,29.4,8.4,15.8,54.8,14.7,7.1,6.1,1.4,88.4,9.7,1.9,127,13.1
PL-TERC-2478,43.4,33.6,10.8,7.2,5.0,11.5,58.1,14.8,7.3,6.4,1.9,22.1,75.7,2.3,79,10.0
PL-TERC-2466,43.2,33.1,11.7,5.3,6.7,17.7,55.5,14.3,6.4,4.4,1.8,24.8,73.1,2.1,82,13.2
PL-TERC-2463,35.5,35.3,19.1,5.8,4.3,14.0,58.1,14.0,6.4,5.7,1.8,18.2,78.2,3.5,67,12.1
WKR-198,64.3,16.7,1.0,9.4,8.6,25.3,44.3,17.1,7.1,4.4,1.8,9.4,87.4,3.2,197,10.5
WKR-177,8.7,18.1,31.2,32.1,9.9,19.1,49.9,15.2,7.3,7.2,1.3,81.7,14.3,4.0,166,14.5
PL-TERC-1602,13.4,36.0,34.0,9.9,6.7,10.3,61.9,12.5,7.6,6.3,1.5,92.0,4.3,3.7,72,11.8
PL-TERC-2472,44.3,29.7,12.4,8.0,5.6,14.5,56.7,15.5,6.1,5.8,1.3,25.2,73.0,1.8,95,11.8
PL-TERC-1603,15.0,29.6,1.0,19.1,35.3,61.9,4.7,19.6,6.7,5.1,1.9,51.9,44.4,3.7,3400,27.0
PL-TERC-2469,40.9,34.1,11.6,7.0,6.4,13.2,56.2,14.9,6.2,7.9,1.5,14.0,82.3,3.7,67,14.0
PL-TERC-2470,41.0,30.3,18.7,5.0,5.0,15.8,54.1,13.4,8.0,7.2,1.6,17.7,78.9,3.4,84,10.4
WKR-179,5.8,13.3,53.0,17.2,10.7,13.2,56.1,16.7,7.7,4.9,1.5,88.2,8.2,3.6,79,14.5
PL-TERC-2408,40.1,28.9,18.1,7.0,5.9,16.6,55.2,14.6,7.0,4.6,1.9,25.5,72.1,2.4,85,12.7
PL-TERC-2477,39.2,29.0,18.8,6.6,6.4,16.3,54.5,14.0,6.6,7.0,1.8,25.8,72.3,1.9,74,13.1
WKR-181,2.0,30.0,1.0,25.0,42.0,55.1,11.6,20.1,6.0,5.3,2.0,85.8,11.2,3.0,11014,27.7
WKR-182,2.0,28.0,1.0,45.0,24.0,52.7,8.3,22.8,7.4,6.9,2.0,83.6,14.6,1.8,10408,24.5
WKR-180,5.1,11.6,60.1,14.9,8.3,13.8,51.1,18.2,7.8,7.6,1.4,87.7,10.2,2.2,121,10.3
WKR-201,60.4,18.9,1.0,9.5,10.2,24.6,43.3,17.8,8.0,4.9,1.4,3.1,93.7,3.1,173,11.6
PL-TERC-2473,37.5,34.8,12.9,6.1,8.7,15.0,53.5,15.4,8.0,6.5,1.6,13.6,83.0,3.5,57,14.1
PL-TERC-2414,43.0,30.3,17.1,6.4,3.2,12.9,57.5,14.1,6.7,7.2,1.5,9.0,87.6,3.4,96,10.0
WKR-178,10.3,36.5,1.0,27.6,24.6,54.6,11.2,18.5,6.7,7.5,1.6,70.9,27.0,2.2,2477,20.7
PL-TERC-2415,45.3,34.7,11.0,5.9,3.1,10.9,60.6,14.4,5.8,7.2,1.2,11.5,86.3,2.2,103,10.6
PL-TERC-2479,38.1,28.9,18.6,8.2,6.2,17.5,55.4,13.5,7.2,4.7,1.7,15.4,81.9,2.7,89,9.5
PL-TERC-2410,34.3,35.0,18.5,7.2,5.0,11.7,59.2,14.3,7.3,5.6,2.0,15.7,81.2,3.0,82,11.6
WKR-199,67.8,17.5,1.0,8.7,5.0,20.0,44.4,20.2,6.8,7.1,1.5,14.7,82.3,3.1,86,10.2
WKR-200,71.7,12.4,1.0,8.3,6.6,25.3,41.1,16.6,7.9,7.7,1.4,9.7,88.0,2.3,138,14.5
WKR-202,61.5,19.9,1.0,9.7,7.9,26.6,43.1,16.7,7.3,4.8,1.4,17.9,78.8,3.3,135,13.1
WKR-298,63.6,17.6,1.0,8.7,9.1,24.0,40.4,20.4,7.8,5.9,1.5,5.5,92.9,1.5,101,12.5
WKR-297,17.1,35.5,1.0,21.5,24.9,58.7,9.5,18.4,7.5,4.3,1.7,48.6,49.5,1.8,2091,13.2
WKR-299,9.1,36.8,1.0,31.1,22.0,58.6,4.9,20.1,7.2,7.7,1.6,70.6,26.6,2.8,2024,12.4
WKR-296,21.1,47.3,1.0,19.7,10.9,57.4,9.7,19.6,5.7,5.8,1.7,43.5,54.7,1.9,2697,13.0
HOH-001,72.0,12.9,1.0,6.8,7.3,13.7,55.9,15.8,7.7,5.2,1.8,6.5,91.2,2.2,87,10.0
